date,equity,peak,drawdown
2005-12-01,1483.7515315119915,1500.0,-0.010832312325338989
2006-01-01,1490.8295622399278,1500.0,-0.006113625173381432
2006-02-01,1492.5411146456895,1500.0,-0.004972590236206997
2006-03-01,1496.2582886736348,1500.0,-0.0024944742175768697
2006-04-01,1500.0344866536254,1500.0344866536254,0.0
2006-05-01,1490.9962732722872,1500.0344866536254,-0.006025337058417346
2006-06-01,1490.4602447836044,1500.0344866536254,-0.0063826811684709606
2006-07-01,1491.7937292315412,1500.0344866536254,-0.005493711974894788
2006-08-01,1498.3323010753518,1500.0344866536254,-0.0011347642960336524
2006-09-01,1505.0741096696324,1505.0741096696324,0.0
2006-10-01,1514.5597908788648,1514.5597908788648,0.0
2006-11-01,1520.585430474843,1520.585430474843,0.0
2006-12-01,1522.9415617125255,1522.9415617125255,0.0
2007-01-01,1527.514490051192,1527.514490051192,0.0
2007-02-01,1521.5444785393097,1527.514490051192,-0.003908317433821695
2007-03-01,1523.9776647998035,1527.514490051192,-0.00231541191551643
2007-04-01,1537.4660222043472,1537.4660222043472,0.0
2007-05-01,1547.888979522295,1547.888979522295,0.0
2007-06-01,1542.1019321814397,1547.888979522295,-0.003738670807412303
2007-07-01,1532.4557145486262,1547.888979522295,-0.009970524487118992
2007-08-01,1536.4327517562833,1547.888979522295,-0.007401194735262684
2007-09-01,1546.825359819449,1547.888979522295,-0.0006871421122037757
2007-10-01,1551.01691969275,1551.01691969275,0.0
2007-11-01,1538.889985584552,1551.01691969275,-0.007818698786729028
2007-12-01,1533.8210860125791,1551.01691969275,-0.01108681244017462
2008-01-01,1515.3073077868057,1551.01691969275,-0.023023354195915613
2008-02-01,1507.438872994781,1551.01691969275,-0.02809643540613449
2008-03-01,1503.2892147361874,1551.01691969275,-0.030771878985057843
2008-04-01,1517.4652674803258,1551.01691969275,-0.021632034948445678
2008-05-01,1522.0503729541242,1551.01691969275,-0.018675841875641086
2008-06-01,1495.1108627722142,1551.01691969275,-0.03604477566344699
2008-07-01,1492.648582322459,1551.01691969275,-0.03763230215557767
2008-08-01,1497.2544571008125,1551.01691969275,-0.03466271831682377
2008-09-01,1467.8291212928698,1551.01691969275,-0.053634359073503446
2008-10-01,1419.1898592688244,1551.01691969275,-0.08499395380550712
2008-11-01,1399.4163277976656,1551.01691969275,-0.0977427067172909
2008-12-01,1400.5648121907832,1551.01691969275,-0.0970022348510361
2009-01-01,1377.6282037149733,1551.01691969275,-0.11179034462894466
2009-02-01,1347.9038555569975,1551.01691969275,-0.13095477009753598
2009-03-01,1369.144847388705,1551.01691969275,-0.11725988929899811
2009-04-01,1396.4509525812653,1551.01691969275,-0.09965459767009088
2009-05-01,1412.7606290289523,1551.01691969275,-0.08913912473062235
2009-06-01,1411.2019108687905,1551.01691969275,-0.09014409001525026
2009-07-01,1432.151469749247,1551.01691969275,-0.07663710719999728
2009-08-01,1442.8041903654903,1551.01691969275,-0.06976889030243216
2009-09-01,1451.641180365098,1551.01691969275,-0.06407134446175988
2009-10-01,1449.3270934680063,1551.01691969275,-0.06556332489582894
2009-11-01,1511.5471478081563,1551.01691969275,-0.02544767331900699
2009-12-01,1526.0397390068954,1551.01691969275,-0.016103744819755073
2010-01-01,1487.5669537950916,1551.01691969275,-0.04090862265398598
2010-02-01,1519.7196732051627,1551.01691969275,-0.02017853325145358
2010-03-01,1579.6300547901283,1579.6300547901283,0.0
2010-04-01,1596.7489197044285,1596.7489197044285,0.0
2010-05-01,1508.3762767041803,1596.7489197044285,-0.05534535950499142
2010-06-01,1448.8061696796685,1596.7489197044285,-0.09265248167642126
2010-07-01,1467.6242651372604,1596.7489197044285,-0.08086722525609735
2010-08-01,1410.6867843750888,1596.7489197044285,-0.11652560589411975
2010-09-01,1442.7853084615324,1596.7489197044285,-0.09642318171813513
2010-10-01,1475.3005136471347,1596.7489197044285,-0.07605980161225034
2010-11-01,1475.3544371331345,1596.7489197044285,-0.07602603081376447
2010-12-01,1537.8638116853456,1596.7489197044285,-0.03687812610512553
2011-01-01,1562.840219696431,1596.7489197044285,-0.02123608764631224
2011-02-01,1600.644807045925,1600.644807045925,0.0
2011-03-01,1595.9674821203648,1600.644807045925,-0.0029221504389799202
2011-04-01,1628.1341877176633,1628.1341877176633,0.0
2011-05-01,1615.4450095344534,1628.1341877176633,-0.007793693099091392
2011-06-01,1587.0772198810337,1628.1341877176633,-0.025217189188922906
2011-07-01,1573.326570441211,1628.1341877176633,-0.033662837922027844
2011-08-01,1515.2101274892782,1628.1341877176633,-0.06935795653715948
2011-09-01,1436.5047202736582,1628.1341877176633,-0.1176988167742079
2011-10-01,1547.0557873668095,1628.1341877176633,-0.04979835259433407
2011-11-01,1542.3000701006736,1628.1341877176633,-0.052719314086336455
2011-12-01,1546.6585489853815,1628.1341877176633,-0.050042336403791965
2012-01-01,1613.07730544118,1628.1341877176633,-0.009247936926863654
2012-02-01,1680.5864201879642,1680.5864201879642,0.0
2012-03-01,1727.6217714274035,1727.6217714274035,0.0
2012-04-01,1715.9231783355879,1727.6217714274035,-0.006771501311974015
2012-05-01,1620.4504146317286,1727.6217714274035,-0.062034039260299045
2012-06-01,1672.8120736682342,1727.6217714274035,-0.03172551924596556
2012-07-01,1690.1719283475725,1727.6217714274035,-0.02167710762807129
2012-08-01,1734.8118794193338,1734.8118794193338,0.0
2012-09-01,1762.2938441709885,1762.2938441709885,0.0
2012-10-01,1724.4751562675967,1762.2938441709885,-0.021459921697214
2012-11-01,1735.0914214296179,1762.2938441709885,-0.015435804211281878
2012-12-01,1734.8560333417297,1762.2938441709885,-0.015569373359620386
2013-01-01,1807.4272616809894,1807.4272616809894,0.0
2013-02-01,1825.4410942362147,1825.4410942362147,0.0
2013-03-01,1871.4986158466531,1871.4986158466531,0.0
2013-04-01,1902.558743726251,1902.558743726251,0.0
2013-05-01,1943.1739825176817,1943.1739825176817,0.0
2013-06-01,1911.1168727611864,1943.1739825176817,-0.016497292597012048
2013-07-01,1994.0291920768802,1994.0291920768802,0.0
2013-08-01,1956.978472474882,1994.0291920768802,-0.01858083108773756
2013-09-01,2005.434504781415,2005.434504781415,0.0
2013-10-01,2080.9743453601764,2080.9743453601764,0.0
2013-11-01,2132.6841716852423,2132.6841716852423,0.0
2013-12-01,2169.8410154589415,2169.8410154589415,0.0
2014-01-01,2115.396896004617,2169.8410154589415,-0.025091294277525322
2014-02-01,2193.2273645370683,2193.2273645370683,0.0
2014-03-01,2185.2516446853015,2193.2273645370683,-0.003636522132054565
2014-04-01,2192.984567714917,2193.2273645370683,-0.00011070298778736998
2014-05-01,2243.1661186458964,2243.1661186458964,0.0
2014-06-01,2277.137396357598,2277.137396357598,0.0
2014-07-01,2264.2106931248477,2277.137396357598,-0.005676733978998039
2014-08-01,2340.7241633481112,2340.7241633481112,0.0
2014-09-01,2310.32786781822,2340.7241633481112,-0.012985851133528348
2014-10-01,2355.2822984086906,2355.2822984086906,0.0
2014-11-01,2415.444326099891,2415.444326099891,0.0
2014-12-01,2391.1669087124883,2415.444326099891,-0.01005091159629512
2015-01-01,2338.947018962844,2415.444326099891,-0.03167007672686195
2015-02-01,2451.2373464106336,2451.2373464106336,0.0
2015-03-01,2409.0959193466138,2451.2373464106336,-0.017191899889142825
2015-04-01,2432.5690643530997,2451.2373464106336,-0.007615860652935069
2015-05-01,2462.1925774928523,2462.1925774928523,0.0
2015-06-01,2412.0817977899646,2462.1925774928523,-0.02035209599807719
2015-07-01,2466.243968326066,2466.243968326066,0.0
2015-08-01,2342.3704808012985,2466.243968326066,-0.05022758863910981
2015-09-01,2288.2653788065345,2466.243968326066,-0.07216584888004096
2015-10-01,2456.7715718561317,2466.243968326066,-0.0038408189098840806
2015-11-01,2465.1870101296913,2466.243968326066,-0.00042857000765095243
2015-12-01,2421.8593607309144,2466.243968326066,-0.017996843850479616
2016-01-01,2314.9635740499075,2466.243968326066,-0.06134040111969874
2016-02-01,2306.5006149848728,2466.243968326066,-0.06477191850959374
2016-03-01,2421.4069044362686,2466.243968326066,-0.018180303516456164
2016-04-01,2411.654342263524,2466.243968326066,-0.022134722583667887
2016-05-01,2457.2452663637278,2466.243968326066,-0.0036487476818629627
2016-06-01,2442.1958089685904,2466.243968326066,-0.009750924752913948
2016-07-01,2530.5713461530368,2530.5713461530368,0.0
2016-08-01,2537.699465260193,2537.699465260193,0.0
2016-09-01,2540.065712450401,2540.065712450401,0.0
2016-10-01,2506.1742135429095,2540.065712450401,-0.013342764614855729
2016-11-01,2563.651445624506,2563.651445624506,0.0
2016-12-01,2589.895029932739,2589.895029932739,0.0
2017-01-01,2644.065554243719,2644.065554243719,0.0
2017-02-01,2729.4629880203474,2729.4629880203474,0.0
2017-03-01,2734.5058767775745,2734.5058767775745,0.0
2017-04-01,2765.670096739557,2765.670096739557,0.0
2017-05-01,2810.5451982495283,2810.5451982495283,0.0
2017-06-01,2798.566971222876,2810.5451982495283,-0.004261887349868099
2017-07-01,2855.5491409915844,2855.5491409915844,0.0
2017-08-01,2872.3563606205594,2872.3563606205594,0.0
2017-09-01,2895.399201879565,2895.399201879565,0.0
2017-10-01,2962.9148657408928,2962.9148657408928,0.0
2017-11-01,3028.7648025989774,3028.7648025989774,0.0
2017-12-01,3043.8892010222444,3043.8892010222444,0.0
2018-01-01,3199.5451151718657,3199.5451151718657,0.0
2018-02-01,3121.091566227158,3199.5451151718657,-0.02452021963143758
2018-03-01,3036.0290195250636,3199.5451151718657,-0.051106044690986896
2018-04-01,3048.665042716716,3199.5451151718657,-0.04715672604199084
2018-05-01,3127.9033113802675,3199.5451151718657,-0.022391246634367312
2018-06-01,3136.184396602738,3199.5451151718657,-0.019803039584808002
2018-07-01,3224.2480571802234,3224.2480571802234,0.0
2018-08-01,3323.1542202053374,3323.1542202053374,0.0
2018-09-01,3322.853242290307,3323.1542202053374,-9.056995104239629e-05
2018-10-01,3129.0190700764133,3323.1542202053374,-0.05841894094127498
2018-11-01,3161.9166625268736,3323.1542202053374,-0.04851943274197523
2018-12-01,2933.291433470738,3323.1542202053374,-0.11731709120334166
2019-01-01,3132.656840287165,3323.1542202053374,-0.057324267035191
2019-02-01,3212.242027781436,3323.1542202053374,-0.033375577862001404
2019-03-01,3256.970577448783,3323.1542202053374,-0.01991591071944443
2019-04-01,3388.346977787142,3388.346977787142,0.0
2019-05-01,3158.9144807333732,3388.346977787142,-0.06771222031210222
2019-06-01,3372.352160045012,3388.346977787142,-0.004720537137130942
2019-07-01,3425.342199932852,3425.342199932852,0.0
2019-08-01,3366.706574711122,3425.342199932852,-0.017118180257400195
2019-09-01,3414.2680236510487,3425.342199932852,-0.0032330131226072645
2019-10-01,3492.508295219677,3492.508295219677,0.0
2019-11-01,3623.1745185536406,3623.1745185536406,0.0
2019-12-01,3712.5405884387596,3712.5405884387596,0.0
2020-01-01,3727.19517731748,3727.19517731748,0.0
2020-02-01,3450.441028002165,3727.19517731748,-0.07425265813809612
2020-03-01,3047.5614304348223,3727.19517731748,-0.18234455523517834
2020-04-01,3472.393362797043,3727.19517731748,-0.06836288479634212
2020-05-01,3664.453042310409,3727.19517731748,-0.01683360597505057
2020-06-01,3773.1468691541513,3773.1468691541513,0.0
2020-07-01,4009.85097701352,4009.85097701352,0.0
2020-08-01,4349.576178630096,4349.576178630096,0.0
2020-09-01,4159.058631051803,4349.576178630096,-0.04380140495396434
2020-10-01,4040.5412213953277,4349.576178630096,-0.07104944126581536
2020-11-01,4476.920413494455,4476.920413494455,0.0
2020-12-01,4639.416560603443,4639.416560603443,0.0
2021-01-01,4612.859140134916,4639.416560603443,-0.005724301778384122
2021-02-01,4692.006260547896,4692.006260547896,0.0
2021-03-01,4850.7869821049835,4850.7869821049835,0.0
2021-04-01,5116.127469449676,5116.127469449676,0.0
2021-05-01,5101.862747986087,5116.127469449676,-0.002788187266398068
2021-06-01,5273.5253916936335,5273.5253916936335,0.0
2021-07-01,5406.82076381992,5406.82076381992,0.0
2021-08-01,5577.608057695777,5577.608057695777,0.0
2021-09-01,5300.612606706301,5577.608057695777,-0.04966205013406899
2021-10-01,5712.5148057071565,5712.5148057071565,0.0
2021-11-01,5742.849876073236,5742.849876073236,0.0
2021-12-01,5917.904772153116,5917.904772153116,0.0
2022-01-01,5533.220401661686,5917.904772153116,-0.0650034742535186
2022-02-01,5336.096133114733,5917.904772153116,-0.09831328171688425
2022-03-01,5533.67445023335,5917.904772153116,-0.06492674970502621
2022-04-01,4966.802549129063,5917.904772153116,-0.16071604049789623
2022-05-01,4959.724955165651,5917.904772153116,-0.16191200329822975
2022-06-01,4552.103909318081,5917.904772153116,-0.23079128769726975
2022-07-01,4993.19139024198,5917.904772153116,-0.1562568877860967
2022-08-01,4759.946911280703,5917.904772153116,-0.19567024233326968
2022-09-01,4309.5711184564925,5917.904772153116,-0.2717741693419413
2022-10-01,4626.283117315224,5917.904772153116,-0.21825657974688228
2022-11-01,4879.986075925522,5917.904772153116,-0.17538617740379214
2022-12-01,4558.303379802037,5917.904772153116,-0.22974370908243158
2023-01-01,4854.930846285612,5917.904772153116,-0.17961997814992925
2023-02-01,4756.895700476,5917.904772153116,-0.19618583204317186
2023-03-01,4999.318962489919,5917.904772153116,-0.15522145844347335
2023-04-01,5066.263144020621,5917.904772153116,-0.1439093160369732
2023-05-01,5187.898273356306,5917.904772153116,-0.12335556702971595
2023-06-01,5492.508015072251,5917.904772153116,-0.07188300140998938
2023-07-01,5663.982813480833,5917.904772153116,-0.042907408694225824
2023-08-01,5578.683913160514,5917.904772153116,-0.057321108070007565
2023-09-01,5293.535954607298,5917.904772153116,-0.10550504639476543
2023-10-01,5188.636683001865,5917.904772153116,-0.12323079150966476
2023-11-01,5686.144623426285,5917.904772153116,-0.039162534317447206
2023-12-01,5932.52825187384,5932.52825187384,0.0
