group,test,status,error,cagr_pct,return_pct,max_drawdown_pct,sharpe,calmar,spy_cagr_pct,spy_max_drawdown_pct,rebalances,turnover_events,params,start,end
parameter,bear_spy_030,ok,,9.20126518790234,858.1033389359267,25.85513634267259,3.741758610350832,0.35587765099950835,8.877168381260358,50.78480023038985,308.0,659.0,"{""bear_spy"": 0.3}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,overlay_less,ok,,9.191454223378702,855.8958994391294,25.35072960693132,3.790544073456085,0.36257158535056927,8.877168381260358,50.78480023038985,308.0,659.0,"{""bull_qqq"": 0.15, ""bull_sat"": 0.15, ""bull_spy"": 0.7}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,overlay_more,ok,,9.262599190103483,872.0147684698358,26.357657235308483,3.8107922633375315,0.3514196693359904,8.877168381260358,50.78480023038985,308.0,661.0,"{""bull_qqq"": 0.25, ""bull_sat"": 0.25, ""bull_spy"": 0.5}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,slow_conservative,ok,,8.441491207064367,700.8800769861072,26.445728823887293,3.6023452493211443,0.3192005508065079,8.877168381260358,50.78480023038985,308.0,640.0,"{""breadth_strong"": 0.65, ""mom_fast"": 84, ""sma_slow"": 220}",2001-01-01T00:00:00,2026-09-04T00:00:00
parameter,fast_aggressive,ok,,8.047883957566281,629.4987874976193,34.092487746822606,3.197951505478219,0.23606033145282387,8.877168381260358,50.78480023038985,308.0,679.0,"{""breadth_strong"": 0.55, ""mom_fast"": 42, ""sma_slow"": 180}",2001-01-01T00:00:00,2026-09-04T00:00:00
period,dev_2001_2015,ok,,4.716586436149339,98.83474115880108,12.597288489599379,3.063320230026797,0.37441283019305827,4.6906097459604945,50.78480023038985,179.0,245.0,"{""end"": ""2015-12-31"", ""start"": ""2001-01-01""}",2001-01-01T00:00:00,2015-12-01T00:00:00
period,test_2016_2020,ok,,16.9107476018554,115.60185086086103,17.727532068749408,5.3516198442825145,0.953925652836141,16.574503667093875,19.447693916322905,59.0,152.0,"{""end"": ""2020-12-31"", ""start"": ""2016-01-01""}",2016-01-01T00:00:00,2020-12-01T00:00:00
period,holdout_2021_plus,ok,,16.26039952305165,135.06249057070167,25.85513634267258,4.629944807554619,0.6289040331307282,15.289030243827796,23.927189217962187,68.0,256.0,"{""end"": null, ""start"": ""2021-01-01""}",2021-01-01T00:00:00,2026-09-04T00:00:00
period,post_gfc_2010_plus,ok,,14.27194930013087,824.8199129884343,25.85513634267259,4.77548057794387,0.5519966752824947,14.535190867919411,23.927189217962187,200.0,549.0,"{""end"": null, ""start"": ""2010-01-01""}",2010-01-01T00:00:00,2026-09-04T00:00:00
period,recent_2018_plus,ok,,15.835640116806848,257.87887902168933,25.85513634267259,4.42006177547795,0.6124755989265827,13.984591985074468,23.927189217962187,104.0,364.0,"{""end"": null, ""start"": ""2018-01-01""}",2018-01-01T00:00:00,2026-09-04T00:00:00
stress_period,dotcom_aftermath,skipped,Insufficient common data for V6,,,,,,,,,,"{""end"": ""2003-12-31"", ""start"": ""2001-01-01""}",2001-01-01,2003-12-31
stress_period,gfc,skipped,Insufficient common data for V6,,,,,,,,,,"{""end"": ""2009-12-31"", ""start"": ""2007-01-01""}",2007-01-01,2009-12-31
stress_period,covid,skipped,Insufficient common data for V6,,,,,,,,,,"{""end"": ""2021-12-31"", ""start"": ""2019-01-01""}",2019-01-01,2021-12-31
stress_period,inflation_bear,skipped,Insufficient common data for V6,,,,,,,,,,"{""end"": ""2023-12-31"", ""start"": ""2021-01-01""}",2021-01-01,2023-12-31
