signal_index,entry_index,exit_index,entry,initial_stop,final_trail_stop,qty,notional,outcome,net_pnl,r_multiple,equity_before,equity_after
6843,6844,6873,51126.993354,48045.47478257143,53372.77928571429,0.0034685595332656586,177.33702020522665,TIME,17.957091468032285,1.6800494020160746,2137.686123572749,2155.643215040781
6917,6918,6924,49197.827597999996,45764.96902657142,45764.96902657142,0.0031397203965552773,154.4674227756507,EMA20_EXIT,-5.766243598246538,-0.5349905362829211,2155.643215040781,2149.8769714425343
7179,7180,7182,64301.65776,62075.92490285714,62075.92490285714,0.004829593462987069,310.55086597692775,INITIAL_STOP,-11.419637540237046,-1.0623526547730446,2149.8769714425343,2138.4573339022973
7825,7826,7837,42214.801272,40102.60698628571,40102.60698628571,0.005062170057853199,213.69850299734154,INITIAL_STOP,-11.149552030858963,-1.0427659092466484,2138.4573339022973,2127.3077818714382
7860,7861,7890,40700.378447999996,38656.48559085714,42817.44214285715,0.0052040589467228365,211.8071685973197,TIME,24.45941737786868,2.2995654494669506,2127.3077818714382,2151.767199249307
8024,8025,8054,49567.791575999996,47710.600147428566,50557.35571428572,0.005793067871588415,287.14958084451644,TIME,17.226418234817665,1.6011414469769307,2151.767199249307,2168.9936174841246
8105,8106,8119,48297.647597999996,46406.26902657143,46406.26902657143,0.005733896032896972,276.9336899604281,EMA20_EXIT,-6.322857530862616,-0.5830222348184383,2168.9936174841246,2162.670759953262
8231,8232,8261,54995.19684,52494.28683999999,53537.880000000005,0.004323767668475198,237.78645401822138,TIME,10.251701763569612,0.9480594044551807,2162.670759953262,2172.9224617168315
8276,8277,8306,58077.603198,55422.423198,58970.31071428572,0.0040918552823477755,237.64514743183435,TIME,17.91449057988215,1.6488844765981998,2172.9224617168315,2190.8369522967137
8310,8311,8321,64183.414116,61314.882687428566,63163.516428571435,0.0038187431562982416,245.09997340333095,TRAIL_STOP,-4.42922534165356,-0.40434093801551807,2190.8369522967137,2186.4077269550603
8392,8393,8399,62925.88266,60454.00408857143,60504.577142857146,0.004422562969368413,278.293678466938,EMA20_EXIT,-3.862773101823099,-0.35334426001161817,2186.4077269550603,2182.544953853237
10001,10002,10021,23752.59957,22631.42671285714,23168.85714285714,0.009733311593963878,231.1914527814624,EMA20_EXIT,-4.973522642046351,-0.4557544286330233,2182.544953853237,2177.571431211191
10595,10596,10609,20841.707508,20260.156079428572,20727.81357142857,0.018722088230101665,390.20028683074827,EMA20_EXIT,0.33602908717867486,0.03086273840319181,2177.571431211191,2177.9074602983696
11059,11060,11083,22670.533199999998,21969.808914285713,22304.836428571427,0.015540402300159427,352.3092062871206,EMA20_EXIT,-1.3592983922876174,-0.12482609266615907,2177.9074602983696,2176.548161906082
11212,11213,11221,22448.768856,21916.941713142856,23731.55,0.02046292852046794,459.36755247283486,TRAIL_STOP,25.20744801440967,2.316277531146804,2176.548161906082,2201.7556099204917
11392,11393,11422,26925.494022,25712.666879142856,26519.039285714283,0.009076955536852753,244.40151204548857,TIME,10.316675418043072,0.9371317480976575,2201.7556099204917,2212.0722853385346
11688,11689,11693,29567.572332,28702.788046285714,28702.788046285714,0.012789734514610364,378.1614003678188,INITIAL_STOP,-11.878970653582053,-1.074012882157158,2212.0722853385346,2200.1933146849524
11969,11970,11996,29857.550316,28854.137458857145,30146.501428571428,0.010963549545048874,327.34473218325564,TRAIL_STOP,2.444036014696549,0.22216557048729263,2200.1933146849524,2202.637350699649
12102,12103,12108,31612.3212,30895.752628571427,30895.752628571427,0.015369341040930717,485.86054561824415,INITIAL_STOP,-12.068769160282397,-1.0958471358391209,2202.637350699649,2190.5685815393663
12585,12586,12588,28317.572382,27858.292382,27858.292382,0.02384785513781753,675.3133640205984,INITIAL_STOP,-12.42525602494861,-1.1344320492551825,2190.5685815393663,2178.1433255144175
12671,12672,12701,28069.772832,27402.507117714285,28698.530714285716,0.016321408989566064,458.13824263528204,TIME,29.437269597984034,2.702969015230599,2178.1433255144175,2207.5805951124016
12710,12711,12738,30742.827336,30067.464478857142,33367.764285714286,0.01634366305286343,502.45041127194304,EMA20_EXIT,47.14392250198192,4.271094120537105,2207.5805951124016,2254.7245176143833
12769,12770,12773,35428.514286,34533.95142885714,34533.95142885714,0.01260238170862437,446.4836604016236,EMA20_EXIT,-10.907284296226894,-0.9675048291724235,2254.7245176143833,2243.8172333181565
12804,12805,12834,35461.070796,34621.610796,36226.00142857143,0.013364646518703446,473.92467636325784,TIME,20.901766451136446,1.8630542756128954,2243.8172333181565,2264.718999769293
12852,12853,12857,37507.489998,36274.32714085714,36274.32714085714,0.009182562492258597,344.41487083439927,INITIAL_STOP,-12.067652782428354,-1.0657086184782911,2264.718999769293,2252.6513469868646
12882,12883,12887,37576.743846000005,36780.31813171429,36780.31813171429,0.014142256500389241,531.4199499195549,INITIAL_STOP,-12.418760685336785,-1.1025905719451932,2252.6513469868646,2240.232586301528
12930,12931,12941,38121.882852,37274.43713771429,37274.43713771429,0.013217558060280934,503.8781999635381,EMA20_EXIT,-7.736250199840954,-0.690664911058452,2240.232586301528,2232.496336101687
12963,12964,12993,41449.38822,40577.40107714286,42599.502142857134,0.01280119984789407,530.6019021771663,TIME,33.74876278589558,3.0234103626639386,2232.496336101687,2266.2450988875826
13052,13053,13056,43090.826442,41828.29787057143,41828.29787057143,0.008975025002100706,386.7412446781322,INITIAL_STOP,-12.168383680132623,-1.0738806394864915,2266.2450988875826,2254.07671520745
13061,13062,13087,44036.00543999999,42638.248297142854,43033.21901142856,0.008063191544848466,355.070746732709,TRAIL_STOP,-8.857042507077779,-0.7858687725508611,2254.07671520745,2245.219672700372
13175,13176,13183,44972.032608,43855.15689371429,44825.065,0.010051340735510032,452.0292233114759,TRAIL_STOP,-2.4698230201696463,-0.22000724919705866,2245.219672700372,2242.7498496802023
13364,13365,13394,46069.952148,45034.30500514286,47875.340000000004,0.010827770178040116,498.83485397184955,TIME,36.19913567106425,3.2281028288755382,2242.7498496802023,2278.9489853512664
13400,13401,13415,52353.788664,50757.648664,50757.648664,0.007138938267793757,373.7504653574166,INITIAL_STOP,-12.203249785486449,-1.0709541866822876,2278.9489853512664,2266.74573556578
13472,13473,13502,55678.733519999994,54185.92209142857,60007.95571428571,0.007592203851677974,422.72429508709547,TIME,46.482302541080735,4.1012365711568215,2266.74573556578,2313.2280381068604
13510,13511,13518,65243.035998,63633.275998000005,65052.829285714295,0.007185009063794799,468.77180499512036,TRAIL_STOP,-2.396201477380917,-0.20717382271935125,2313.2280381068604,2310.8318366294793
13955,13956,13968,67208.529018,65011.591875142854,65518.765,0.005259212454354098,353.4639328502844,EMA20_EXIT,-6.947183788177637,-0.601271254624103,2310.8318366294793,2303.884652841302
14063,14064,14082,70459.08899999999,68659.93328571427,69789.68428571429,0.006402682754327252,451.127194025909,TRAIL_STOP,-5.273233295214037,-0.4577688634464177,2303.884652841302,2298.6114195460877
14375,14376,14394,67573.512,65495.300571428575,66759.11,0.005530263639071035,373.6993363779303,TRAIL_STOP,-5.320517839800623,-0.4629332121608687,2298.6114195460877,2293.290901706287
14701,14702,14723,61772.331996,59442.044853142856,62143.02071428572,0.004920618707303397,303.9580924132738,EMA20_EXIT,3.655260243499951,0.31877859374755396,2293.290901706287,2296.946161949787
14747,14748,14768,65242.075806,63604.07437742857,64809.085,0.00701142905581301,457.4401859677434,TRAIL_STOP,-4.038518785175276,-0.3516424417842808,2296.946161949787,2292.9076431646117
14855,14856,14885,65883.174,64340.59685714286,66698.41857142858,0.007432067996669901,489.6482290044345,TIME,16.320926524478303,1.423600865314626,2292.9076431646117,2309.22856968909
14945,14946,14957,72416.4804,70734.47611428572,70734.47611428572,0.006864514523839158,497.10398147111374,INITIAL_STOP,-12.625819124696022,-1.0935096932735366,2309.22856968909,2296.602750564394
15006,15007,15036,76927.962516,74883.66394457142,84315.63214285714,0.005617092294300995,432.11146546489937,TIME,73.47384408762905,6.398480892663978,2296.602750564394,2370.076594652023
15065,15066,15095,92327.97190199999,89546.3976162857,95052.21642857142,0.004260315115120868,393.3462542425454,TIME,24.97243266531354,2.1073101790602697,2370.076594652023,2395.0490273173364
15163,15164,15169,98607.03746400001,95628.63460685714,97802.66285714286,0.004020693543140895,396.46867883975716,TRAIL_STOP,-4.102415262051819,-0.34257463753440415,2395.0490273173364,2390.9466120552847
15422,15423,15439,101071.94034599999,98188.46748885713,101326.2,0.004145949572808532,419.0391679004281,TRAIL_STOP,0.13108057592132677,0.010964743023571607,2390.9466120552847,2391.077692631206
15997,15998,16027,93461.678598,90693.87574085714,92905.6292857143,0.0043194508714024926,403.7031290628708,EMA20_EXIT,0.3528097808451377,0.02951052422365217,2391.077692631206,2391.4305024120513
16049,16050,16060,96873.680862,94773.52086199999,94773.52086199999,0.005693448362058247,551.5452996303072,EMA20_EXIT,-6.511288184136474,-0.5445517381808955,2391.4305024120513,2384.919214227915
16081,16082,16111,96853.38680400001,94697.93823257144,101648.59071428572,0.005532303683421362,535.8223485676032,TIME,38.96312432288098,3.267458628404297,2384.919214227915,2423.882338550796
16169,16170,16170,108995.134668,106160.114668,106160.114668,0.004274894601362238,465.94271276698333,INITIAL_STOP,-13.129851602149849,-1.0833736764631896,2423.882338550796,2410.752486948646
16464,16465,16493,111772.339998,109861.009998,119697.51357142857,0.006306478962158939,704.889910748663,TRAIL_STOP,48.369357654113706,4.012801638988339,2410.752486948646,2459.1218446027597
16638,16639,16663,117485.48239800001,115220.82668371429,118597.49571428572,0.00542935031821907,637.8698412437024,TRAIL_STOP,4.627079971550577,0.376319699790884,2459.1218446027597,2463.7489245743104
16674,16675,16679,122768.768844,120241.20170114287,120241.20170114287,0.0048737556419358,598.3449798069571,INITIAL_STOP,-13.620203879652339,-1.105648692023734,2463.7489245743104,2450.128720694658
16878,16879,16883,116823.490026,115050.32288314286,115050.32288314286,0.006908905149084564,807.1224117746606,EMA20_EXIT,-8.318464986294408,-0.6790226910148595,2450.128720694658,2441.810255708364
16886,16887,16894,117605.186334,115519.72919114286,115519.72919114286,0.005854376495033137,688.505038567762,EMA20_EXIT,-8.592596624160393,-0.7037890519194088,2441.810255708364,2433.2176590842037
16970,16971,17000,118757.736798,116558.67108371429,121707.67642857143,0.005532389603633438,657.0140684122914,TIME,29.344207412658886,2.4119673226194847,2433.2176590842037,2462.5618664968624
17591,17592,17609,93468.679998,91481.68285514286,93816.02500000001,0.006196692016768325,579.1966231614798,EMA20_EXIT,5.641140379007501,0.45815217524117285,2462.5618664968624,2468.20300687587
