signal_index,entry_index,exit_index,entry,stop,target,qty,notional,outcome,net_pnl,r_multiple,equity_before,equity_after
7150,7151,7160,58538.905439999995,56901.06186857142,61814.592582857134,0.006746069489477999,394.90752393622165,TIME,10.785787332757236,0.9761771149374578,2209.801309150392,2220.5870964831493
7188,7189,7191,63375.962658,61444.46087228571,67238.96622942857,0.00574834336915189,364.30679470873207,SL,-11.891016267424202,-1.0709794978324945,2220.5870964831493,2208.696080215725
7196,7197,7199,62384.74445399999,60700.07623971428,65754.08088257142,0.00655528507478903,408.9497842138339,SL,-11.92983816860696,-1.0802607271745386,2208.696080215725,2196.766242047118
7322,7323,7332,58111.479972,56044.64711485714,62245.145686285716,0.005314329686735962,308.8235631553619,TIME,-5.161969781476251,-0.46996077076147397,2196.766242047118,2191.6042722656416
7333,7334,7338,58252.478166,56286.038166,62185.358166000005,0.005572517524729056,324.6129554389317,SL,-11.658957506673458,-1.0639655757396962,2191.6042722656416,2179.9453147589684
7824,7825,7834,39868.612128,38401.20069942857,42803.434985142856,0.0074278599454592415,296.13846710662176,TIME,12.097259054185253,1.109868121212281,2179.9453147589684,2192.0425738131535
7839,7840,7843,40112.47089,38755.15089,42827.110889999996,0.008074892338627418,323.9038838730763,SL,-11.65958656940944,-1.063810229664206,2192.0425738131535,2180.382987243744
7882,7883,7892,45939.196002000004,44104.00171628572,49609.58457342857,0.005940469094243904,272.9003740642941,TIME,-2.6979761528518247,-0.24747727061128635,2180.382987243744,2177.685011090892
7893,7894,7900,46358.529852,44767.42842342857,49540.73270914285,0.006843325547907179,317.2465116996092,SL,-11.573239999509731,-1.0628938474175582,2177.685011090892,2166.1117710913823
7904,7905,7909,44856.239453999995,43589.30838257143,47390.10159685714,0.008548656749924489,383.4605941846662,TP,20.791592086796843,1.9197155349302335,2166.1117710913823,2186.903363178179
7914,7915,7917,47043.17675399999,45728.40103971428,49672.72818257142,0.008316640395074034,391.2411841049241,SL,-11.782049939409188,-1.0775098834076136,2186.903363178179,2175.1213132387697
7919,7920,7929,46182.724698,44894.25041228571,48759.67326942857,0.008440685768257133,389.8138670977458,TIME,-2.8406724589577883,-0.26119669203443263,2175.1213132387697,2172.280640779812
7930,7931,7932,46854.51903,45358.19510142857,49847.16688714286,0.00725872452916573,340.1040465853235,SL,-11.596532574013432,-1.0676827253637424,2172.280640779812,2160.6841082057986
7946,7947,7956,47064.16095,45554.194521428566,50084.09380714285,0.007154742209235775,336.7319388912311,TIME,12.94071260951721,1.1978347561655363,2160.6841082057986,2173.6248208153156
7963,7964,7973,49249.067844,48052.080701142855,51643.04212971428,0.009079566283506575,447.16017589051023,TIME,-9.49305098227738,-0.873476498001765,2173.6248208153156,2164.131769833038
8004,8005,8007,48809.039855999996,47716.89521314285,50993.32914171428,0.009907715905520934,483.5861005144963,SL,-11.871468926589726,-1.0971114690955814,2164.131769833038,2152.2603009064483
