period,breakout_lookback,initial_stop_atr,trail_atr,fee_rate,slippage_rate,initial_equity,final_equity,return_pct,trades,win_rate_pct,profit_factor,avg_r,max_drawdown_pct,max_consecutive_losses,total_fees_est
DEV_BASE_COST,30,1.5,3.0,0.001,0.0002,2000.0,2621.624907296364,31.0812453648182,78,42.30769230769231,2.4328082818972745,0.7105355199176917,3.9786796924101004,6,75.95630269180002
DEV_BASE_COST,30,1.5,3.5,0.001,0.0002,2000.0,2709.3732913093263,35.46866456546631,77,45.45454545454545,2.5793772485427313,0.808538075224239,3.978679692410066,6,77.86666275427078
DEV_BASE_COST,30,2.0,2.5,0.001,0.0002,2000.0,2478.950107549923,23.94750537749615,75,48.0,2.56202402286513,0.5828724719779221,2.419973413131906,5,54.20988663063338
DEV_BASE_COST,30,2.0,3.0,0.001,0.0002,2000.0,2468.1840041343658,23.409200206718282,75,44.0,2.384879997878314,0.5715296445679202,2.841803924112458,5,53.924259621716395
DEV_BASE_COST,30,2.0,3.5,0.001,0.0002,2000.0,2462.958290508941,23.147914525447042,74,47.2972972972973,2.3508961007005897,0.5734355434218893,3.04764748959534,5,53.57458425007779
DEV_BASE_COST,30,2.5,2.5,0.001,0.0002,2000.0,2357.139532727523,17.856976636376153,75,48.0,2.3888609646649943,0.44490321560671675,2.136121835370293,5,42.306069157026265
DEV_BASE_COST,30,2.5,3.0,0.001,0.0002,2000.0,2346.5335404861653,17.326677024308257,75,44.0,2.2212124422760886,0.43306069851061485,2.475068905139385,5,42.0898204032874
DEV_BASE_COST,30,2.5,3.5,0.001,0.0002,2000.0,2350.3053543857063,17.515267719285312,74,47.2972972972973,2.246135661177464,0.44316580232985286,2.6196244662133603,5,41.92272355350398
DEV_2X_COST,15,1.5,2.5,0.002,0.0004,2000.0,2445.297337135707,22.264866856785346,103,37.86407766990291,1.7376594396225258,0.4029111268663807,5.347110220697593,8,185.5505500711813
DEV_2X_COST,15,1.5,3.0,0.002,0.0004,2000.0,2410.6666561624174,20.533332808120864,103,33.980582524271846,1.6390765175700677,0.37529796094924134,5.718569410463688,9,183.43913262537325
